"","classification","sex","age","total","survived"
"1","1st","Male","Child",1,"Yes"
"2","1st","Male","Child",1,"Yes"
"3","1st","Male","Child",1,"Yes"
"4","1st","Male","Child",1,"Yes"
"5","1st","Male","Child",1,"Yes"
"6","2nd","Male","Child",1,"Yes"
"7","2nd","Male","Child",1,"Yes"
"8","2nd","Male","Child",1,"Yes"
"9","2nd","Male","Child",1,"Yes"
"10","2nd","Male","Child",1,"Yes"
"11","2nd","Male","Child",1,"Yes"
"12","2nd","Male","Child",1,"Yes"
"13","2nd","Male","Child",1,"Yes"
"14","2nd","Male","Child",1,"Yes"
"15","2nd","Male","Child",1,"Yes"
"16","2nd","Male","Child",1,"Yes"
"17","3rd","Male","Child",1,"Yes"
"18","3rd","Male","Child",1,"Yes"
"19","3rd","Male","Child",1,"Yes"
"20","3rd","Male","Child",1,"Yes"
"21","3rd","Male","Child",1,"Yes"
"22","3rd","Male","Child",1,"Yes"
"23","3rd","Male","Child",1,"Yes"
"24","3rd","Male","Child",1,"Yes"
"25","3rd","Male","Child",1,"Yes"
"26","3rd","Male","Child",1,"Yes"
"27","3rd","Male","Child",1,"Yes"
"28","3rd","Male","Child",1,"Yes"
"29","3rd","Male","Child",1,"Yes"
"30","3rd","Male","Child",1,"No"
"31","3rd","Male","Child",1,"No"
"32","3rd","Male","Child",1,"No"
"33","3rd","Male","Child",1,"No"
"34","3rd","Male","Child",1,"No"
"35","3rd","Male","Child",1,"No"
"36","3rd","Male","Child",1,"No"
"37","3rd","Male","Child",1,"No"
"38","3rd","Male","Child",1,"No"
"39","3rd","Male","Child",1,"No"
"40","3rd","Male","Child",1,"No"
“41","3rd","Male","Child",1,"No"
"42","3rd","Male","Child",1,"No"
"43","3rd","Male","Child",1,"No"
"44","3rd","Male","Child",1,"No"
"45","3rd","Male","Child",1,"No"
"46","3rd","Male","Child",1,"No"
"47","3rd","Male","Child",1,"No"
"48","3rd","Male","Child",1,"No"
"49","3rd","Male","Child",1,"No"
"50","3rd","Male","Child",1,"No"
"51","3rd","Male","Child",1,"No"
"52","3rd","Male","Child",1,"No"
"53","3rd","Male","Child",1,"No"
"54","3rd","Male","Child",1,"No"
"55","3rd","Male","Child",1,"No"
"56","3rd","Male","Child",1,"No"
"57","3rd","Male","Child",1,"No"
"58","3rd","Male","Child",1,"No"
"59","3rd","Male","Child",1,"No"
"60","3rd","Male","Child",1,"No"
"61","3rd","Male","Child",1,"No"
"62","3rd","Male","Child",1,"No"
"63","3rd","Male","Child",1,"No"
"64","3rd","Male","Child",1,"No"
"65","1st","Female","Child",1,"No"
"66","2nd","Female","Child",1,"Yes"
"67","2nd","Female","Child",1,"Yes"
"68","2nd","Female","Child",1,"Yes"
"69","2nd","Female","Child",1,"Yes"
"70","2nd","Female","Child",1,"Yes"
"71","2nd","Female","Child",1,"Yes"
"72","2nd","Female","Child",1,"Yes"
"73","2nd","Female","Child",1,"Yes"
"74","2nd","Female","Child",1,"Yes"
"75","2nd","Female","Child",1,"Yes"
"76","2nd","Female","Child",1,"Yes"
"77","2nd","Female","Child",1,"Yes"
"78","2nd","Female","Child",1,"Yes"
"79","3rd","Female","Child",1,"Yes"
"80","3rd","Female","Child",1,"Yes"
"81","3rd","Female","Child",1,"Yes"
"82","3rd","Female","Child",1,"Yes"
"83","3rd","Female","Child",1,"Yes"
"84","3rd","Female","Child",1,"Yes"
"85","3rd","Female","Child",1,"Yes"
"86","3rd","Female","Child",1,"Yes"
"87","3rd","Female","Child",1,"Yes"
"88","3rd","Female","Child",1,"Yes"
"89","3rd","Female","Child",1,"Yes"
"90","3rd","Female","Child",1,"Yes"
"91","3rd","Female","Child",1,"Yes"
"92","3rd","Female","Child",1,"Yes"
"93","3rd","Female","Child",1,"No"
"94","3rd","Female","Child",1,"No"
"95","3rd","Female","Child",1,"No"
"96","3rd","Female","Child",1,"No"
"97","3rd","Female","Child",1,"No"
"98","3rd","Female","Child",1,"No"
"99","3rd","Female","Child",1,"No"
"100","3rd","Female","Child",1,"No"
"101","3rd","Female","Child",1,"No"
"102","3rd","Female","Child",1,"No"
"103","3rd","Female","Child",1,"No"
"104","3rd","Female","Child",1,"No"
"105","3rd","Female","Child",1,"No"
"106","3rd","Female","Child",1,"No"
"107","3rd","Female","Child",1,"No"
"108","3rd","Female","Child",1,"No"
"109","3rd","Female","Child",1,"No"
"110","1st","Male","Adult",1,"Yes"
"111","1st","Male","Adult",1,"Yes"
"112","1st","Male","Adult",1,"Yes"
"113","1st","Male","Adult",1,"Yes"
"114","1st","Male","Adult",1,"Yes"
"115","1st","Male","Adult",1,"Yes"
"116","1st","Male","Adult",1,"Yes"
"117","1st","Male","Adult",1,"Yes"
"118","1st","Male","Adult",1,"Yes"
"119","1st","Male","Adult",1,"Yes"
"120","1st","Male","Adult",1,"Yes"
"121","1st","Male","Adult",1,"Yes"
"122","1st","Male","Adult",1,"Yes"
"123","1st","Male","Adult",1,"Yes"
"124","1st","Male","Adult",1,"Yes"
"125","1st","Male","Adult",1,"Yes"
"126","1st","Male","Adult",1,"Yes"
"127","1st","Male","Adult",1,"Yes"
"128","1st","Male","Adult",1,"Yes"
"129","1st","Male","Adult",1,"Yes"
"130","1st","Male","Adult",1,"Yes"
"131","1st","Male","Adult",1,"Yes"
"132","1st","Male","Adult",1,"Yes"
"133","1st","Male","Adult",1,"Yes"
"134","1st","Male","Adult",1,"Yes"
"135","1st","Male","Adult",1,"Yes"
"136","1st","Male","Adult",1,"Yes"
"137","1st","Male","Adult",1,"Yes"
"138","1st","Male","Adult",1,"Yes"
"139","1st","Male","Adult",1,"Yes"
"140","1st","Male","Adult",1,"Yes"
"141","1st","Male","Adult",1,"Yes"
"142","1st","Male","Adult",1,"Yes"
"143","1st","Male","Adult",1,"Yes"
"144","1st","Male","Adult",1,"Yes"
